"permanencia","taxa_reprovacao","permanencia_por_semestre","quant_matricula","status"
1.21,0.2,1.38,35.0,-1
0.69,0.19,0.75,18.0,-1
1.26,0.14,1.25,36.0,1
1.13,0.04,1.12,32.0,1
0.75,0.35,0.62,21.0,-1
1.3,0.1,1.5,38.0,1
0.92,0.12,0.88,25.0,-1
0.33,0.0,0.25,9.0,1
0.31,0.47,0.38,9.0,-1
0.18,1.0,0.12,5.0,-1
0.64,0.0,0.5,18.0,1
1.03,0.06,1.0,30.0,1
0.67,0.0,0.75,19.0,1
1.49,0.22,1.75,44.0,1
1.16,0.11,1.38,34.0,1
0.33,0.55,0.25,9.0,-1
0.67,0.73,0.62,18.0,-1
0.18,1.0,0.12,5.0,-1
0.79,0.35,0.75,22.0,1
0.18,1.0,0.12,5.0,-1
0.57,0.17,1.0,17.0,-1
0.57,0.26,0.5,16.0,1
1.0,0.03,1.12,29.0,1
1.15,0.11,1.12,33.0,1
0.18,1.0,0.12,5.0,-1
1.16,0.11,1.25,34.0,-1
0.18,0.0,0.12,5.0,-1
1.03,0.27,1.38,28.0,-1
1.18,0.06,1.12,34.0,1
1.03,0.1,1.0,30.0,-1
0.95,0.4,1.25,27.0,-1
0.18,0.0,0.12,5.0,-1
1.0,0.0,1.0,29.0,1
0.18,0.18,0.12,5.0,-1
0.64,0.0,0.5,18.0,1
1.16,0.11,1.12,34.0,-1
1.0,0.0,1.12,29.0,1
0.18,1.0,0.12,5.0,-1
0.34,0.0,0.38,9.0,-1
0.18,1.0,0.12,5.0,-1
0.79,0.15,0.88,21.0,-1
0.59,0.25,0.5,16.0,-1
0.51,0.0,0.5,14.0,-1
0.25,0.6,0.38,7.0,-1
1.25,0.21,1.12,36.0,-1
0.3,0.89,0.25,8.0,-1
0.15,0.44,0.25,4.0,-1
0.64,0.21,0.62,18.0,-1
0.38,0.57,0.38,10.0,-1
1.0,0.0,1.0,29.0,1
0.23,0.57,0.25,6.0,-1
0.26,0.69,0.38,7.0,-1
1.3,0.23,1.5,37.0,1
1.15,0.11,1.12,33.0,1
0.57,0.26,0.5,16.0,1
1.56,0.27,1.75,47.0,-1
0.84,0.0,0.88,24.0,1
0.18,0.18,0.12,5.0,-1
0.3,0.0,0.25,8.0,-1
0.3,0.28,0.25,8.0,-1
0.3,0.5,0.25,8.0,1
1.33,0.2,1.38,38.0,1
0.74,0.0,0.88,21.0,1
1.46,0.24,1.5,41.0,1
0.11,1.0,0.12,3.0,-1
