"ano_ingresso","ano","media_final","descricao","nome","ch_total","status"
2009.0,20092.0,9.0,1.0,4.0,60.0,1.0
2009.0,20092.0,7.0,1.0,4.0,60.0,1.0
2009.0,20092.0,6.0,1.0,4.0,60.0,1.0
2009.0,20092.0,7.9,1.0,4.0,60.0,1.0
2009.0,20092.0,5.0,1.0,4.0,60.0,-1.0
2009.0,20092.0,6.1,1.0,4.0,60.0,1.0
2009.0,20092.0,5.0,1.0,4.0,60.0,-1.0
2009.0,20092.0,6.8,1.0,4.0,60.0,-1.0
2009.0,20092.0,5.0,1.0,4.0,60.0,-1.0
2009.0,20092.0,7.9,1.0,4.0,60.0,1.0
2009.0,20092.0,5.8,1.0,4.0,60.0,-1.0
2009.0,20092.0,6.7,1.0,4.0,60.0,1.0
2009.0,20092.0,5.0,1.0,4.0,60.0,-1.0
2009.0,20092.0,6.4,1.0,4.0,60.0,1.0
2009.0,20092.0,-4.0,-2.0,4.0,60.0,-1.0
2009.0,20092.0,5.8,1.0,4.0,60.0,-1.0
2009.0,20092.0,7.6,1.0,4.0,60.0,-1.0
2009.0,20092.0,9.0,1.0,4.0,60.0,-1.0
2009.0,20092.0,5.0,1.0,4.0,60.0,-1.0
2009.0,20092.0,5.0,1.0,4.0,60.0,-1.0
2009.0,20092.0,5.0,1.0,4.0,60.0,1.0
2009.0,20092.0,1.5,-1.0,4.0,60.0,-1.0
2009.0,20092.0,7.0,1.0,4.0,60.0,-1.0
2009.0,20092.0,-4.0,-2.0,4.0,60.0,-1.0
2009.0,20092.0,0.2,-1.0,4.0,60.0,-1.0
2009.0,20092.0,5.0,1.0,4.0,60.0,-1.0
2010.0,20101.0,2.0,-1.0,1.0,90.0,-1.0
2010.0,20101.0,8.7,1.0,1.0,90.0,-1.0
2010.0,20101.0,-2.0,-2.0,1.0,90.0,-1.0
2010.0,20101.0,7.6,1.0,1.0,90.0,1.0
2010.0,20101.0,3.6,-1.0,1.0,90.0,-1.0
2010.0,20101.0,7.8,1.0,1.0,90.0,-1.0
2010.0,20101.0,6.1,1.0,1.0,90.0,-1.0
2010.0,20101.0,6.3,1.0,1.0,90.0,-1.0
2010.0,20101.0,5.3,1.0,1.0,90.0,-1.0
2010.0,20101.0,8.1,1.0,1.0,90.0,-1.0
2010.0,20101.0,7.8,1.0,1.0,90.0,-1.0
2010.0,20101.0,7.1,1.0,1.0,90.0,-1.0
2010.0,20101.0,6.6,1.0,1.0,90.0,-1.0
2010.0,20101.0,5.0,1.0,1.0,90.0,-1.0
2010.0,20101.0,-4.0,-2.0,1.0,90.0,-1.0
2009.0,20101.0,3.3,-1.0,1.0,90.0,-1.0
2010.0,20101.0,5.0,1.0,1.0,90.0,-1.0
2010.0,20101.0,1.9,-1.0,1.0,90.0,-1.0
2010.0,20101.0,2.6,-1.0,1.0,90.0,-1.0
2010.0,20101.0,7.8,1.0,1.0,90.0,-1.0
2010.0,20101.0,8.7,1.0,1.0,90.0,-1.0
2010.0,20101.0,7.1,1.0,1.0,90.0,-1.0
2010.0,20101.0,6.8,1.0,1.0,90.0,-1.0
2010.0,20101.0,7.3,1.0,1.0,90.0,1.0
2010.0,20101.0,7.2,1.0,1.0,90.0,-1.0
2010.0,20101.0,7.0,1.0,1.0,90.0,-1.0
2010.0,20101.0,1.5,-1.0,1.0,90.0,-1.0
2010.0,20101.0,5.6,1.0,1.0,90.0,-1.0
2010.0,20101.0,7.1,1.0,1.0,90.0,1.0
2010.0,20101.0,8.3,1.0,1.0,90.0,-1.0
2010.0,20101.0,8.5,1.0,1.0,90.0,1.0
2010.0,20101.0,3.4,-1.0,1.0,90.0,-1.0
2010.0,20101.0,8.4,1.0,1.0,90.0,-1.0
2010.0,20101.0,8.7,1.0,1.0,90.0,-1.0
2010.0,20101.0,7.1,1.0,1.0,90.0,-1.0
2010.0,20101.0,2.4,-1.0,1.0,90.0,-1.0
2010.0,20101.0,4.2,-1.0,1.0,90.0,-1.0
2010.0,20101.0,8.0,1.0,1.0,90.0,1.0
2010.0,20101.0,5.2,1.0,1.0,90.0,-1.0
2010.0,20101.0,8.1,1.0,1.0,90.0,-1.0
2010.0,20101.0,7.8,1.0,1.0,90.0,-1.0
2010.0,20101.0,7.6,1.0,1.0,90.0,-1.0
2010.0,20101.0,8.1,1.0,1.0,90.0,-1.0
2010.0,20101.0,5.5,1.0,1.0,90.0,-1.0
2010.0,20101.0,7.8,1.0,1.0,90.0,-1.0
2010.0,20101.0,5.1,1.0,1.0,90.0,1.0
2010.0,20101.0,7.7,1.0,1.0,90.0,1.0
2010.0,20101.0,-2.0,-2.0,1.0,90.0,-1.0
2010.0,20101.0,6.4,1.0,1.0,90.0,1.0
2010.0,20101.0,7.7,1.0,1.0,90.0,1.0
2010.0,20101.0,5.6,1.0,12.0,60.0,-1.0
2010.0,20101.0,-2.0,-2.0,12.0,60.0,-1.0
2010.0,20101.0,4.6,-1.0,12.0,60.0,-1.0
2010.0,20101.0,5.1,1.0,12.0,60.0,-1.0
2010.0,20101.0,9.6,1.0,12.0,60.0,-1.0
2010.0,20101.0,-4.0,-2.0,12.0,60.0,-1.0
2010.0,20101.0,5.2,1.0,12.0,60.0,-1.0
2010.0,20101.0,5.1,1.0,12.0,60.0,-1.0
2010.0,20101.0,6.7,1.0,12.0,60.0,-1.0
2010.0,20101.0,7.1,1.0,12.0,60.0,-1.0
2010.0,20101.0,5.4,1.0,12.0,60.0,-1.0
