"ano_ingresso","homem","mulher","ch_cumprida","ch_cumprida_dividida","ch_reprovacao","taxa_reprovacao","semestre_total","semestre_dividido","matricula","tempo_relativo"
2017,1,0,930,0.51,450.0,0.48,4,0.5,14.0,-0.5
2013,1,0,300,0.16,0.0,0.0,1,0.12,4.0,-0.12
2020,0,1,1410,0.77,180.0,0.13,7,0.88,22.0,0.88
2019,0,1,720,0.39,330.0,0.46,3,0.38,11.0,-0.38
2017,0,1,1800,0.98,390.0,0.22,13,1.62,28.0,1.62
2013,1,0,2340,1.28,450.0,0.19,10,1.25,37.0,-1.25
2015,1,0,330,0.18,60.0,0.18,1,0.12,5.0,-0.12
2018,1,0,1260,0.69,330.0,0.26,6,0.75,19.0,0.75
2015,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2017,1,0,1710,0.93,60.0,0.04,8,1.0,27.0,1.0
2018,1,0,2130,1.16,300.0,0.14,9,1.12,33.0,1.12
2015,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2014,1,0,330,0.18,0.0,0.0,1,0.12,5.0,-0.12
2017,1,0,1980,1.08,210.0,0.11,11,1.38,31.0,1.38
2017,1,0,2130,1.16,300.0,0.14,10,1.25,34.0,-1.25
2010,0,1,1410,0.77,360.0,0.26,6,0.75,21.0,-0.75
2019,0,1,1410,0.77,390.0,0.28,9,1.12,22.0,1.12
2012,1,0,1800,0.98,480.0,0.27,8,1.0,28.0,-1.0
2018,1,0,1950,1.07,0.0,0.0,9,1.12,31.0,1.12
2011,1,0,1710,0.93,300.0,0.18,9,1.12,26.0,-1.12
2017,1,0,870,0.48,390.0,0.45,4,0.5,13.0,-0.5
2012,1,0,420,0.23,210.0,0.5,2,0.25,6.0,-0.25
2022,1,0,540,0.3,60.0,0.11,2,0.25,8.0,0.25
2012,1,0,1980,1.08,330.0,0.17,10,1.25,30.0,-1.25
2020,1,0,1530,0.84,0.0,0.0,7,0.88,24.0,0.88
2019,1,0,1800,0.98,270.0,0.15,8,1.0,28.0,1.0
2019,0,1,1680,0.92,60.0,0.04,8,1.0,26.0,1.0
2010,1,0,2130,1.16,660.0,0.31,10,1.25,34.0,-1.25
2017,1,0,270,0.15,270.0,1.0,1,0.12,4.0,-0.12
2009,1,0,2190,1.2,300.0,0.14,10,1.25,35.0,-1.25
2016,0,1,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2020,1,0,1530,0.84,0.0,0.0,7,0.88,24.0,-0.88
2020,1,0,1530,0.84,0.0,0.0,7,0.88,24.0,0.88
2019,1,0,2010,1.1,0.0,0.0,9,1.12,32.0,1.12
2013,0,1,1650,0.9,690.0,0.42,6,0.75,25.0,-0.75
2020,1,0,1590,0.87,60.0,0.04,7,0.88,25.0,0.88
2022,1,0,600,0.33,60.0,0.1,2,0.25,9.0,0.25
2009,1,0,1830,1.0,0.0,0.0,8,1.0,29.0,1.0
2020,1,0,1260,0.69,690.0,0.55,6,0.75,19.0,0.75
2018,1,0,1890,1.03,60.0,0.03,10,1.25,30.0,1.25
2018,1,0,510,0.28,0.0,0.0,2,0.25,8.0,0.25
2018,1,0,1830,1.0,0.0,0.0,9,1.12,29.0,1.12
2021,1,0,1110,0.61,0.0,0.0,4,0.5,17.0,0.5
2019,0,1,810,0.44,270.0,0.33,3,0.38,12.0,-0.38
2010,1,0,1710,0.93,360.0,0.21,6,0.75,27.0,-0.75
2017,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2011,1,0,690,0.38,60.0,0.09,3,0.38,10.0,-0.38
2010,1,0,2910,1.59,870.0,0.3,15,1.88,44.0,1.88
2009,1,0,1440,0.79,450.0,0.31,5,0.62,22.0,-0.62
2012,1,0,870,0.48,480.0,0.55,4,0.5,13.0,-0.5
2022,1,0,600,0.33,60.0,0.1,2,0.25,9.0,0.25
2019,1,0,1800,0.98,0.0,0.0,9,1.12,28.0,1.12
2012,1,0,690,0.38,630.0,0.91,3,0.38,10.0,-0.38
2010,0,1,2460,1.34,570.0,0.23,12,1.5,38.0,-1.5
2019,1,0,1770,0.97,120.0,0.07,9,1.12,28.0,1.12
2012,1,0,2040,1.11,180.0,0.09,9,1.12,32.0,-1.12
2016,0,1,2250,1.23,420.0,0.19,9,1.12,36.0,1.12
2009,1,0,1830,1.0,0.0,0.0,8,1.0,29.0,1.0
2010,0,1,3150,1.72,1440.0,0.46,13,1.62,48.0,-1.62
2020,0,1,930,0.51,0.0,0.0,4,0.5,14.0,-0.5
2022,1,0,540,0.3,120.0,0.22,2,0.25,8.0,0.25
2019,1,0,1470,0.8,480.0,0.33,9,1.12,22.0,1.12
2015,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2010,0,1,2370,1.3,480.0,0.2,12,1.5,38.0,-1.5
2016,1,0,2370,1.3,420.0,0.18,15,1.88,38.0,-1.88
2018,0,1,1260,0.69,540.0,0.43,4,0.5,19.0,0.5
2017,1,0,1860,1.02,360.0,0.19,9,1.12,29.0,-1.12
2010,0,1,2820,1.54,1110.0,0.39,13,1.62,43.0,-1.62
2020,1,0,1530,0.84,0.0,0.0,7,0.88,24.0,0.88
2014,1,0,330,0.18,330.0,1.0,1,0.12,5.0,-0.12
2012,1,0,1980,1.08,90.0,0.05,8,1.0,31.0,1.0
2017,0,1,960,0.52,540.0,0.56,4,0.5,14.0,-0.5
